brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11138719,128035.83527999994,51621.059999999976,36620,0.0,0,724.51335,60393,19446.569600000013,476378,21.56,12,56222.13232999995,10565316,108413.18,16851
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11612223,134707.39697999993,55737.30999999994,40627,0.0,0,852.8468399999995,65204,18246.943800000015,459897,25.09,16,59845.206339999975,11046479,201897.19,31856
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12089665,146927.81796000001,58324.65000000001,42325,0.0,0,860.3412000000002,68390,25142.004550000034,552470,16.78,11,62584.042209999985,11426469,203117.96,31970
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12362042,147096.19125999996,61678.96999999995,45534,0.0,0,885.1922399999995,71617,22706.443550000044,522973,11.9,9,61813.68546999995,11721909,228660.98,35568
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12033060,138487.31110999986,56233.45999999993,41028,0.0,0,1052.4882000000016,79402,20203.267300000014,481734,19.090000000000003,14,60979.005609999935,11430882,230372.06,35052
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12220864,140677.7582000001,56380.72000000004,41363,0.0,0,1020.01476,73620,19284.76605000002,454394,19.25,15,63973.00739000006,11651472,222634.89,34851
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,11524053,119893.42429999991,47048.97999999997,36749,0.0,0,756.7812299999995,52817,13355.560499999987,347824,10.919999999999998,7,58721.18256999995,11086656,215529.27,33747
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12276072,136769.57483999996,48679.83,39167,0.0,0,1138.8973900000024,68610,22935.672850000017,577570,35.24000000000001,20,63979.934599999935,11590705,221514.28,35525
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12284047,148733.95794999998,53644.64000000003,43901,0.0,0,999.8544299999996,57815,30754.713049999995,725880,16.09,11,63318.66046999996,11456440,221791.93,35903
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12727389,145467.65556999997,56712.44000000002,44792,0.0,0,845.9069499999985,53049,25880.357749999977,667389,31.160000000000004,23,61997.79086999996,11962136,232952.24000000002,38247
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12918639,160410.45223,50582.22000000002,39911,0.0,0,1055.42181,63195,44953.568549999974,786185,13.22,9,63806.02187,12029339,233843.49000000002,38082
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,12958165,167045.34795,55296.71999999997,40939,0.0,0,868.5297500000006,57500,43266.97990000005,801874,9.13,6,67603.98829999998,12057846,226643.8,36958
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,13266005,150043.41473,54546.790000000015,39168,0.0,0,787.6706900000001,60905,26498.602850000003,594034,21.49,14,68188.86118999997,12571884,222519.19,36101
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,14193832,152117.43713000015,59190.710000000065,39490,0.0,0,759.8746800000007,55218,17337.91075000008,329080,25.65,13,74803.29169999999,13770031,223152.25,36136
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,15777826,161679.43733000004,62148.00000000005,41547,0.0,0,771.2978599999991,49755,17255.295650000022,327673,36.14,18,81468.70381999997,15358833,233634.84,37144
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,16391858,168225.34386999998,64936.649999999994,46363,0.0,0,783.6168200000003,48423,16591.52120000004,323699,30.690000000000005,17,85882.86584999994,15973356,233327.99,36584
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17038952,171761.81078000006,67881.34000000005,48133,0.0,0,781.005629999999,49011,16587.868999999995,317762,6.83,5,86504.76615000001,16624041,251661.23,40214
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17865511,164112.98831999992,59406.79999999995,40916,0.0,0,872.8007399999992,62478,14482.550750000004,283971,21.17,14,89329.66682999996,17478132,239766.02000000002,39532
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17705101,171179.73027,60376.9,41733,0.0,0,901.9749299999997,69495,17235.56085,312951,20.380000000000003,12,92644.91449,17280910,244609.75,39853
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17584455,166940.54752999995,60494.149999999994,41759,0.0,0,1061.9836799999994,80539,15919.271499999984,294037,16.96,10,89448.18234999997,17168110,258341.74,40695
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17370760,165276.02793999994,61725.83999999994,41740,0.0,0,998.650180000002,75649,15556.64594999996,285794,3.62,3,86991.27181000005,16967574,241311.16,39583
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17378904,173529.2461799998,64761.74999999991,40637,0.0,0,1114.8240900000014,85573,15755.279249999963,290470,7.15,4,91890.24283999995,16962220,233681.93,38529
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,16298661,193626.31961999988,66666.84999999996,42840,0.0,0,1131.5878899999993,86117,33924.56155,684058,13.37,9,91889.95017999993,15485637,219361.85,35936
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,16526228,188515.20790999988,71851.41999999993,47782,0.0,0,1174.0357800000004,91155,22366.59855,503263,10.91,7,93112.24357999995,15884021,242500.69,39782
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,17109268,177524.61224000002,63341.75999999997,42788,0.0,0,1049.790050000002,80951,22317.26145000001,478414,18.39,12,90797.41074000005,16507103,246811.76,40351
Brand CBrand GBrand LABrand LOBrand MBrand NBrand R,16845992,179623.75636,61680.590000000026,41707,0.0,0,1240.9185300000004,77390,28409.199750000014,564705,14.63,10,88278.41807999997,16162180,238095.65000000002,38772
