dates,brand,total_users_reached,total_cost,sponsored_products_s,sponsored_products_u,sponsored_brands_s,sponsored_brands_u,video_s,video_u,OTT_s,OTT_u,sponsored_display_s,sponsored_display_u,display_s,display_u,sales,converted_users
2022-09-02,Brand C,1396015,22956.80920000001,0.0,0,0.0,0,550.6547300000001,42781,16190.40530000001,347938,0.0,0,6215.749170000002,1005296,4509.52,1501
2022-09-02,Brand G,1721941,18708.778820000007,6656.230000000009,2944,0.0,0,0.0,0,3256.164300000005,128440,0.0,0,8796.384519999992,1590557,15706.65,1905
2022-09-02,Brand LA,531396,3424.464480000001,0.0,0,0.0,0,173.85861999999992,17612,0.0,0,0.0,0,3250.605860000001,513784,607.42,248
2022-09-02,Brand LO,4422994,39091.98918999996,20499.979999999985,11060,0.0,0,0.0,0,0.0,0,0.0,0,18592.00918999997,4411934,45236.85,5464
2022-09-02,Brand M,1990735,27193.267789999984,16769.29999999998,13675,0.0,0,0.0,0,0.0,0,0.0,0,10423.967790000002,1977060,21105.52,4357
2022-09-02,Brand N,644414,10554.243689999996,7189.500000000001,8737,0.0,0,0.0,0,0.0,0,21.56,12,3343.183689999995,635665,14971.92,2773
2022-09-02,Brand R,431224,6106.282109999988,506.0500000000001,204,0.0,0,0.0,0,0.0,0,0.0,0,5600.232109999988,431020,6275.3,603
2022-09-03,Brand C,1454998,22644.106170000017,0.0,0,0.0,0,666.6711299999996,44824,15288.634300000009,343681,0.0,0,6688.800740000009,1066493,10807.06,2883
2022-09-03,Brand G,1781354,18728.454550000006,6802.259999999994,3019,0.0,0,0.0,0,2958.309500000005,116216,0.0,0,8967.885050000006,1662119,28422.52,3697
2022-09-03,Brand LA,508124,3587.2486300000023,0.0,0,0.0,0,186.17570999999987,20380,0.0,0,0.0,0,3401.0729200000023,487744,1391.17,471
2022-09-03,Brand LO,4637217,42548.25104999993,22772.19999999996,12291,0.0,0,0.0,0,0.0,0,0.0,0,19776.051049999976,4624926,82588.86,10199
2022-09-03,Brand M,2090696,28727.55045999996,17516.639999999967,15310,0.0,0,0.0,0,0.0,0,0.0,0,11210.910459999992,2075386,39089.71,8276
2022-09-03,Brand N,662726,11659.43915000001,8104.010000000015,9795,0.0,0,0.0,0,0.0,0,25.09,16,3530.339149999995,652915,27726.88,5199
2022-09-03,Brand R,477108,6812.346969999991,542.1999999999996,212,0.0,0,0.0,0,0.0,0,0.0,0,6270.146969999992,476896,11870.99,1131
2022-09-04,Brand C,1595446,28885.685400000035,0.0,0,0.0,0,671.46094,44342,21527.484950000035,411388,0.0,0,6686.739509999998,1139716,10789.8,3040
2022-09-04,Brand G,1736418,20717.06489,7765.6799999999985,3138,0.0,0,0.0,0,3614.519600000001,141082,0.0,0,9336.865290000003,1592198,28547.2,3648
2022-09-04,Brand LA,496809,3534.5073799999973,0.0,0,0.0,0,188.88026000000016,24048,0.0,0,0.0,0,3345.627119999997,472761,1994.43,558
2022-09-04,Brand LO,4688032,45172.61438999997,24535.089999999986,13399,0.0,0,0.0,0,0.0,0,0.0,0,20637.52438999999,4674633,84954.78,10347
2022-09-04,Brand M,2173290,29140.566170000016,17522.14000000002,15622,0.0,0,0.0,0,0.0,0,0.0,0,11618.426169999995,2157668,38238.45,8040
2022-09-04,Brand N,671263,11570.496869999999,7967.849999999999,9954,0.0,0,0.0,0,0.0,0,16.78,11,3585.86687,661298,26946.97,5239
2022-09-04,Brand R,728407,7906.882859999997,533.8899999999996,212,0.0,0,0.0,0,0.0,0,0.0,0,7372.992859999998,728195,11646.33,1098
2022-09-05,Brand C,1716367,27195.59296000004,0.0,0,0.0,0,694.6889499999995,46535,19467.88190000004,392142,0.0,0,7033.022110000002,1277690,14382.31,3760
2022-09-05,Brand G,1938756,19832.63764,7402.410000000005,3293,0.0,0,0.0,0,3238.561650000004,130831,0.0,0,9191.66598999999,1804632,30808.2,4028
2022-09-05,Brand LA,551749,3608.517510000005,0.0,0,0.0,0,190.50329,25082,0.0,0,0.0,0,3418.014220000005,526667,1766.72,615
